candidate,brightness,detail,raw,scene,step,baseline_count,baseline_mse_y,baseline_mse_cb,baseline_mse_cr,baseline_sigma_y,baseline_sigma_cb,baseline_sigma_cr,candidate_count,candidate_mse_y,candidate_mse_cb,candidate_mse_cr,candidate_sigma_y,candidate_sigma_cb,candidate_sigma_cr
baseline,128.0,100.0,False,"Texture(4, 0)",1.0,14080,5.32755874263538,8.424497095144301e-12,1.341609574363288e-11,2.3076379210118096,2.8407383457375944e-06,3.5848609566563874e-06,14080,5.32755874263538,8.424497095144301e-12,1.341609574363288e-11,2.3076379210118096,2.8407383457375944e-06,3.5848609566563874e-06
baseline,128.0,0.0,False,"Texture(4, 0)",5.0,14080,16.434572427726653,1.2744752025222546e-11,2.0296144858047795e-11,4.053019350602808,3.5310903939773567e-06,4.456048585674068e-06,14080,16.434572427726653,1.2744752025222546e-11,2.0296144858047795e-11,4.053019350602808,3.5310903939773567e-06,4.456048585674068e-06
baseline,128.0,50.0,False,"Texture(4, 0)",5.0,14080,15.662913422625593,1.2096713795443566e-11,1.9264137506384636e-11,3.9569341671185922,3.4667223288785255e-06,4.3748195052926464e-06,14080,15.662913422625593,1.2096713795443566e-11,1.9264137506384636e-11,3.9569341671185922,3.4667223288785255e-06,4.3748195052926464e-06
baseline,128.0,100.0,False,"Texture(4, 0)",5.0,14080,5.327559662092759,8.424497092894013e-12,1.3416095740049234e-11,2.3076381168317477,2.8077104345670523e-06,3.5431814864535656e-06,14080,5.327559662092759,8.424497092894013e-12,1.3416095740049234e-11,2.3076381168317477,2.8077104345670523e-06,3.5431814864535656e-06
baseline,128.0,0.0,True,"Texture(4, 0)",1.0,14080,16.434631007709353,8.856522598165866e-12,1.4104100671021103e-11,4.0530266343833965,2.9509343998776336e-06,3.7239225258631637e-06,14080,16.434631007709353,8.856522598165866e-12,1.4104100671021103e-11,4.0530266343833965,2.9509343998776336e-06,3.7239225258631637e-06
baseline,128.0,50.0,True,"Texture(4, 0)",1.0,14080,15.66299341417286,3.8882294293069085e-12,6.192044190609683e-12,3.956944311581797,1.9668736377567767e-06,2.4820900950807084e-06,14080,15.66299341417286,3.8882294293069085e-12,6.192044190609683e-12,3.956944311581797,1.9668736377567767e-06,2.4820900950807084e-06
baseline,128.0,100.0,True,"Texture(4, 0)",1.0,14080,5.327576335563713,5.832344142835389e-12,9.288066284122756e-12,2.307641846194742,2.3404361550635466e-06,2.953506156743919e-06,14080,5.327576335563713,5.832344142835389e-12,9.288066284122756e-12,2.307641846194742,2.3404361550635466e-06,2.953506156743919e-06
baseline,128.0,0.0,True,"Texture(4, 0)",5.0,14080,16.434631007709353,8.856522598165866e-12,1.4104100671021103e-11,4.0530266343833965,2.9509343998776336e-06,3.7239225258631637e-06,14080,16.434631007709353,8.856522598165866e-12,1.4104100671021103e-11,4.0530266343833965,2.9509343998776336e-06,3.7239225258631637e-06
baseline,128.0,50.0,True,"Texture(4, 0)",5.0,14080,15.66299341417286,3.8882294293069085e-12,6.192044190609683e-12,3.956944311581797,1.9668736377567767e-06,2.4820900950807084e-06,14080,15.66299341417286,3.8882294293069085e-12,6.192044190609683e-12,3.956944311581797,1.9668736377567767e-06,2.4820900950807084e-06
baseline,128.0,100.0,True,"Texture(4, 0)",5.0,14080,5.327576335563713,5.832344142835389e-12,9.288066284122756e-12,2.307641846194742,2.3404361550635466e-06,2.953506156743919e-06,14080,5.327576335563713,5.832344142835389e-12,9.288066284122756e-12,2.307641846194742,2.3404361550635466e-06,2.953506156743919e-06
baseline,200.0,0.0,False,"Texture(4, 0)",1.0,14080,15.646220885827523,3.9746345274357115e-11,6.329645172145599e-11,3.9551343064585875,6.190923540642222e-06,7.812616786686999e-06,14080,15.646220885827523,3.9746345274357115e-11,6.329645172145599e-11,3.9551343064585875,6.190923540642222e-06,7.812616786686999e-06
baseline,200.0,50.0,False,"Texture(4, 0)",1.0,14080,13.4592127207563,3.1969886426996635e-11,5.091236335815374e-11,3.668461194107847,5.64332808804773e-06,7.121580401377218e-06,14080,13.4592127207563,3.1969886426996635e-11,5.091236335815374e-11,3.668461194107847,5.64332808804773e-06,7.121580401377218e-06
baseline,200.0,100.0,False,"Texture(4, 0)",1.0,14080,0.7685925962800176,2.8729695228593352e-11,4.575232652100015e-11,0.875493886233398,5.35072707888526e-06,6.752333464151127e-06,14080,0.7685925962800176,2.8729695228593352e-11,4.575232652100015e-11,0.875493886233398,5.35072707888526e-06,6.752333464151127e-06
baseline,200.0,0.0,False,"Texture(4, 0)",5.0,14080,15.646221155823547,3.6506154079330506e-11,5.81364148896765e-11,3.9551343407538853,5.988062165594794e-06,7.5566165027775285e-06,14080,15.646221155823547,3.6506154079330506e-11,5.81364148896765e-11,3.9551343407538853,5.988062165594794e-06,7.5566165027775285e-06
baseline,200.0,50.0,False,"Texture(4, 0)",5.0,14080,13.459212699836252,2.7433618762285237e-11,4.368831180692238e-11,3.6684611912625686,5.2037405786501455e-06,6.5668443054471416e-06,14080,13.459212699836252,2.7433618762285237e-11,4.368831180692238e-11,3.6684611912625686,5.2037405786501455e-06,6.5668443054471416e-06
baseline,200.0,100.0,False,"Texture(4, 0)",5.0,14080,0.7685919361776334,2.527349128993185e-11,4.024828723806945e-11,0.8754935260874266,5.0261760000972305e-06,6.342767235521265e-06,14080,0.7685919361776334,2.527349128993185e-11,4.024828723806945e-11,0.8754935260874266,5.0261760000972305e-06,6.342767235521265e-06
baseline,200.0,0.0,True,"Texture(4, 0)",1.0,14080,15.646235497693787,3.0673809941557723e-11,4.884834861361728e-11,3.9551360627752468,5.3928814770636335e-06,6.805530076365769e-06,14080,15.646235497693787,3.0673809941557723e-11,4.884834861361728e-11,3.9551360627752468,5.3928814770636335e-06,6.805530076365769e-06
baseline,200.0,50.0,True,"Texture(4, 0)",1.0,14080,13.459197529249325,3.4562039359613723e-11,5.504039278630763e-11,3.66845913825715,5.757015579408361e-06,7.265047978970559e-06,14080,13.459197529249325,3.4562039359613723e-11,5.504039278630763e-11,3.66845913825715,5.757015579408361e-06,7.265047978970559e-06
baseline,200.0,100.0,True,"Texture(4, 0)",1.0,14080,0.7685920610045224,3.4346026635106137e-11,5.4696390365616926e-11,0.875493416809578,5.6244840827765265e-06,7.097800267291872e-06,14080,0.7685920610045224,3.4346026635106137e-11,5.4696390365616926e-11,0.875493416809578,5.6244840827765265e-06,7.097800267291872e-06
baseline,200.0,0.0,True,"Texture(4, 0)",5.0,14080,15.646230823938165,3.866628155505851e-11,6.157643946390458e-11,3.9551354685810516,5.956001747544991e-06,7.516157957521662e-06,14080,15.646230823938165,3.866628155505851e-11,6.157643946390458e-11,3.9551354685810516,5.956001747544991e-06,7.516157957521662e-06
baseline,200.0,50.0,True,"Texture(4, 0)",5.0,14080,13.459193550825363,3.9962358008992857e-11,6.364045415827016e-11,3.6684585969506016,6.1562318695318045e-06,7.768837739780894e-06,14080,13.459193550825363,3.9962358008992857e-11,6.364045415827016e-11,3.6684585969506016,6.1562318695318045e-06,7.768837739780894e-06
baseline,200.0,100.0,True,"Texture(4, 0)",5.0,14080,0.768593007546845,3.52100776343994e-11,5.607240020964222e-11,0.8754940086073284,5.612250756666981e-06,7.082362459298602e-06,14080,0.768593007546845,3.52100776343994e-11,5.607240020964222e-11,0.8754940086073284,5.612250756666981e-06,7.082362459298602e-06
baseline,30.0,0.0,False,"Texture(8, 0)",1.0,14080,14.647603589635219,1.8091067480533483e-12,2.8810205604234468e-12,3.8168234776208463,1.342175786159197e-06,1.6937545761619988e-06,14080,14.647603589635219,1.8091067480533483e-12,2.8810205604234468e-12,3.8168234776208463,1.342175786159197e-06,1.6937545761619988e-06
baseline,30.0,50.0,False,"Texture(8, 0)",1.0,14080,14.620747903213386,1.812481947453878e-12,2.8863955991707246e-12,3.8133184939601965,1.34468102618546e-06,1.6969160560535962e-06,14080,14.620747903213386,1.812481947453878e-12,2.8863955991707246e-12,3.8133184939601965,1.34468102618546e-06,1.6969160560535962e-06
baseline,30.0,100.0,False,"Texture(8, 0)",1.0,14080,13.960045851997155,1.863109934172979e-12,2.9670211735473613e-12,3.726056639730137,1.3609055176513806e-06,1.717390502806145e-06,14080,13.960045851997155,1.863109934172979e-12,2.9670211735473613e-12,3.726056639730137,1.3609055176513806e-06,1.717390502806145e-06
baseline,30.0,0.0,False,"Texture(8, 0)",5.0,14080,14.647604002136148,1.863109934454292e-12,2.967021173995274e-12,3.8168235332588063,1.3621450096612369e-06,1.718954675908825e-06,14080,14.647604002136148,1.863109934454292e-12,2.967021173995274e-12,3.8168235332588063,1.3621450096612369e-06,1.718954675908825e-06
baseline,30.0,50.0,False,"Texture(8, 0)",5.0,14080,14.620747481199402,1.7854803542885877e-12,2.8433952924407804e-12,3.8133184361128967,1.333625644841108e-06,1.682964751808404e-06,14080,14.620747481199402,1.7854803542885877e-12,2.8433952924407804e-12,3.8133184361128967,1.333625644841108e-06,1.682964751808404e-06
baseline,30.0,100.0,False,"Texture(8, 0)",5.0,14080,13.960046333805163,1.8631099342081468e-12,2.9670211736033507e-12,3.7260567029986404,1.3631583010426044e-06,1.7202333958290477e-06,14080,13.960046333805163,1.8631099342081468e-12,2.9670211736033507e-12,3.7260567029986404,1.3631583010426044e-06,1.7202333958290477e-06
baseline,30.0,0.0,True,"Texture(8, 0)",1.0,14080,14.64759920899176,2.1736282603560643e-12,3.461524708556446e-12,3.8168229316115565,1.460496203835237e-06,1.8430686607690507e-06,14080,14.64759920899176,2.1736282603560643e-12,3.461524708556446e-12,3.8168229316115565,1.460496203835237e-06,1.8430686607690507e-06
