test,seed,clipped,chroma,brightness,sigma,sigma_y,sigma_c,ratio,detail,step,variant,unsupported,selected,strength,passed,black_fraction,clean_error,bias,relative_loss,noise_ratio,y_relative_loss,y_noise_ratio,c_relative_loss,c_noise_ratio
separate,24533,False,False,0.198405921459198,0.07999981939792633,,,,0.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.1984100043773651,0.080000139772892,,,,0.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000043511390686,0.0799999088048935,,,,25.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.198405921459198,0.07999981939792633,,,,25.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.1984100043773651,0.080000139772892,,,,25.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000043511390686,0.0799999088048935,,,,50.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.198405921459198,0.07999981939792633,,,,50.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.1984100043773651,0.080000139772892,,,,50.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000043511390686,0.0799999088048935,,,,75.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.198405921459198,0.07999981939792633,,,,75.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.1984100043773651,0.080000139772892,,,,75.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.20000043511390686,0.0799999088048935,,,,100.0,1.0,0,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.198405921459198,0.07999981939792633,,,,100.0,1.0,1,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.1984100043773651,0.080000139772892,,,,100.0,1.0,2,True,,,,0.0,,,,,,,,
separate,24533,False,False,0.4200011193752289,0.0030001718550920486,,,,0.0,1.0,0,,55,,True,0.0,0.0,0.0,0.35355844294132044,0.49822412633546304,,,,
separate,24533,False,False,0.41703346371650696,0.002999539952725172,,,,0.0,1.0,1,,55,,True,0.0,0.0,0.0,0.3621947355889264,0.4979492575171151,,,,
separate,24533,False,False,0.41703304648399353,0.0029993709176778793,,,,0.0,1.0,2,,55,,True,0.0,0.0,0.0,0.3474628535821437,0.4802676308802358,,,,
separate,24533,False,False,0.4200011193752289,0.0030001718550920486,,,,25.0,1.0,0,,59,,True,0.0,0.0,0.0,0.3074142200004444,0.4621061670728189,,,,
separate,24533,False,False,0.41703346371650696,0.002999539952725172,,,,25.0,1.0,1,,59,,True,0.0,0.0,0.0,0.316304204106979,0.461975433083814,,,,
separate,24533,False,False,0.41703304648399353,0.0029993709176778793,,,,25.0,1.0,2,,59,,True,0.0,0.0,0.0,0.300786244004314,0.4433478116448808,,,,
separate,24533,False,False,0.4200011193752289,0.0030001718550920486,,,,50.0,1.0,0,,64,,True,0.0,0.0,0.0,0.2551973285339315,0.41813805882508615,,,,
separate,24533,False,False,0.41703346371650696,0.002999539952725172,,,,50.0,1.0,1,,64,,True,0.0,0.0,0.0,0.26418638243710224,0.41822414327923596,,,,
separate,24533,False,False,0.41703304648399353,0.0029993709176778793,,,,50.0,1.0,2,,64,,True,0.0,0.0,0.0,0.24845040387329514,0.3987825211872694,,,,
separate,24533,False,False,0.4200011193752289,0.0030001718550920486,,,,75.0,1.0,0,,74,,True,0.0,0.0,0.0,0.2043075337484462,0.3098550320200408,,,,
separate,24533,False,False,0.41703346371650696,0.002999539952725172,,,,75.0,1.0,1,,74,,True,0.0,0.0,0.0,0.21691918676517963,0.31353862540573924,,,,
separate,24533,False,False,0.41703304648399353,0.0029993709176778793,,,,75.0,1.0,2,,74,,True,0.0,0.0,0.0,0.2050021504627834,0.2899561261049403,,,,
separate,24533,False,False,0.4200011193752289,0.0030001718550920486,,,,100.0,1.0,0,,84,,True,0.0,0.0,0.0,0.10633126307844061,0.23895523258353613,,,,
separate,24533,False,False,0.41703346371650696,0.002999539952725172,,,,100.0,1.0,1,,84,,True,0.0,0.0,0.0,0.11191936971520265,0.24378422108145095,,,,
separate,24533,False,False,0.41703304648399353,0.0029993709176778793,,,,100.0,1.0,2,,84,,True,0.0,0.0,0.0,0.10701029146027383,0.2230865646167043,,,,
separate,24533,False,False,0.42000067234039307,0.012000270187854767,,,,0.0,1.0,0,,92,,True,0.0,0.0,0.0,0.057509686641608056,0.17305076289682797,,,,
separate,24533,False,False,0.4170328378677368,0.012001050636172295,,,,0.0,1.0,1,,92,,True,0.0,0.0,0.0,0.06336293268056074,0.18109113093376408,,,,
separate,24533,False,False,0.41703230142593384,0.012000246904790401,,,,0.0,1.0,2,,92,,True,0.0,0.0,0.0,0.06492122444215208,0.17497381092749908,,,,
separate,24533,False,False,0.42000067234039307,0.012000270187854767,,,,25.0,1.0,0,,94,,True,0.0,0.0,0.0,0.05108445814825554,0.16701970341309352,,,,
separate,24533,False,False,0.4170328378677368,0.012001050636172295,,,,25.0,1.0,1,,94,,True,0.0,0.0,0.0,0.05685972285283396,0.17549769564822346,,,,
separate,24533,False,False,0.41703230142593384,0.012000246904790401,,,,25.0,1.0,2,,94,,True,0.0,0.0,0.0,0.058660264448170546,0.17190464031712416,,,,
separate,24533,False,False,0.42000067234039307,0.012000270187854767,,,,50.0,1.0,0,,96,,True,0.0,0.0,0.0,0.04628484708033129,0.1649194030571545,,,,
separate,24533,False,False,0.4170328378677368,0.012001050636172295,,,,50.0,1.0,1,,96,,True,0.0,0.0,0.0,0.05175068331838757,0.1734572706233728,,,,
separate,24533,False,False,0.41703230142593384,0.012000246904790401,,,,50.0,1.0,2,,96,,True,0.0,0.0,0.0,0.053690218327524075,0.17127143038109358,,,,
separate,24533,False,False,0.42000067234039307,0.012000270187854767,,,,75.0,1.0,0,,98,,True,0.0,0.0,0.0,0.04495146594091376,0.17489197118776487,,,,
separate,24533,False,False,0.4170328378677368,0.012001050636172295,,,,75.0,1.0,1,,98,,True,0.0,0.0,0.0,0.04938066130393015,0.1818071318846815,,,,
separate,24533,False,False,0.41703230142593384,0.012000246904790401,,,,75.0,1.0,2,,98,,True,0.0,0.0,0.0,0.05021206612853714,0.17625389095793828,,,,
separate,24533,False,False,0.42000067234039307,0.012000270187854767,,,,100.0,1.0,0,,100,,True,0.0,0.0,0.0,0.11801538077479594,0.3252232930900825,,,,
separate,24533,False,False,0.4170328378677368,0.012001050636172295,,,,100.0,1.0,1,,100,,True,0.0,0.0,0.0,0.11600828191294717,0.32179973075034046,,,,
separate,24533,False,False,0.41703230142593384,0.012000246904790401,,,,100.0,1.0,2,,100,,True,0.0,0.0,0.0,0.10654183452675588,0.2981077309214915,,,,
