variant,seed,brightness,correlation,color_texture,step,detail,before_edge_mse_ycc_y,before_edge_mse_ycc_cb,before_edge_mse_ycc_cr,before_flat_mse_ycc_y,before_flat_mse_ycc_cb,before_flat_mse_ycc_cr,before_flat_sigma_c,before_flat_sigma_y,before_texture_mse_ycc_y,before_texture_mse_ycc_cb,before_texture_mse_ycc_cr,after_edge_mse_ycc_y,after_edge_mse_ycc_cb,after_edge_mse_ycc_cr,after_flat_mse_ycc_y,after_flat_mse_ycc_cb,after_flat_mse_ycc_cr,after_flat_sigma_c,after_flat_sigma_y,after_texture_mse_ycc_y,after_texture_mse_ycc_cb,after_texture_mse_ycc_cr,clean_edge_mse_ycc_y,clean_edge_mse_ycc_cb,clean_edge_mse_ycc_cr,clean_flat_mse_ycc_y,clean_flat_mse_ycc_cb,clean_flat_mse_ycc_cr,clean_flat_sigma_c,clean_flat_sigma_y,clean_texture_mse_ycc_y,clean_texture_mse_ycc_cb,clean_texture_mse_ycc_cr
baseline,173,128.0,8,False,1.0,0.0,49.390107479649394,18.97210197026172,37.77859274030057,49.80458659637223,14.551779275187306,17.907394461650107,3.9249847148472536,7.053243983128126,47.927331737332594,16.02271770501789,15.403960004329777,1.6667220380697754,10.320451790690539,29.506178730338924,0.6962661771102683,8.15347902456799,9.541144769264301,2.845180766392003,0.8101283718922772,14.22696873871932,12.389366674100296,10.921779062763065,1.1191786919200488,4.3202549289531917e-13,6.880049112622774e-13,2.3283064365386963e-10,0.0,0.0,0.0,0.0,14.232103602069861,6.480382384428544e-12,1.0320073654599593e-11
baseline,173,128.0,8,False,1.0,50.0,49.390107479649394,18.97210197026172,37.77859274030057,49.80458659637223,14.551779275187306,17.907394461650107,3.9249847148472536,7.053243983128126,47.927331737332594,16.02271770501789,15.403960004329777,3.6005050084517607,10.337148745972426,29.585295481354272,3.1085194490177974,8.177205991334274,9.558193565242883,2.8481488899718466,1.7587509243985706,14.14311788482689,12.422977575634954,10.940031470307412,0.4051993126773926,0.0,0.0,2.3283064365386963e-10,0.0,0.0,0.0,0.0,13.141523185419695,4.968293158169777e-12,7.912056463389821e-12
baseline,173,128.0,8,False,1.0,100.0,49.390107479649394,18.97210197026172,37.77859274030057,49.80458659637223,14.551779275187306,17.907394461650107,3.9249847148472536,7.053243983128126,47.927331737332594,16.02271770501789,15.403960004329777,30.44975622937611,10.470753948717542,29.974286307098854,31.240191246118687,8.28752492092691,9.663397631668882,2.865805674868964,5.587659780485469,34.39738895179124,12.604766150732054,11.101587119697308,1.4400113166451913e-06,2.1601274588508256e-13,3.4400245473522914e-13,2.3283064365386963e-10,0.0,0.0,0.0,0.0,3.7426850159359533,6.264369637418308e-12,9.976071198072541e-12
baseline,173,128.0,8,False,5.0,0.0,49.390107479649394,18.97210197026172,37.77859274030057,49.80458659637223,14.551779275187306,17.907394461650107,3.9249847148472536,7.053243983128126,47.927331737332594,16.02271770501789,15.403960004329777,1.6836513121305168,0.768364979543042,2.9487313603037957,0.7127568537673792,0.7094647882032796,1.093627499828847,0.8199557136443636,0.8121237866935751,14.27163630025893,0.8523236629455432,1.129068079478825,1.1191786919200488,4.3202549289531917e-13,6.880049112622774e-13,2.3283064365386963e-10,0.0,0.0,0.0,0.0,14.232103343179034,6.264369638543462e-12,9.976071199864364e-12
baseline,173,128.0,8,False,5.0,50.0,49.390107479649394,18.97210197026172,37.77859274030057,49.80458659637223,14.551779275187306,17.907394461650107,3.9249847148472536,7.053243983128126,47.927331737332594,16.02271770501789,15.403960004329777,3.5893490088497275,0.771333292378798,2.9545456137323742,3.117606879261756,0.7104493153629778,1.0964617251650168,0.8208987429589137,1.758891668190862,14.179281514975061,0.8534781840174734,1.1309110203550206,0.4051993126773926,0.0,0.0,2.3283064365386963e-10,0.0,0.0,0.0,0.0,13.141524736592341,4.536267665837037e-12,7.2240515530234556e-12
baseline,173,128.0,8,False,5.0,100.0,49.390107479649394,18.97210197026172,37.77859274030057,49.80458659637223,14.551779275187306,17.907394461650107,3.9249847148472536,7.053243983128126,47.927331737332594,16.02271770501789,15.403960004329777,30.25556982570336,0.785166054551628,2.9875505848958266,31.191326866326914,0.7168476467593857,1.1100370596391271,0.8259131825127529,5.583957567652442,34.35125516881773,0.8622130329787699,1.1450606348409003,1.4400113166451913e-06,2.1601274588508256e-13,3.4400245473522914e-13,2.3283064365386963e-10,0.0,0.0,0.0,0.0,3.742684729122465,6.69639512975105e-12,1.0664076108438904e-11
baseline,173,128.0,8,True,1.0,0.0,49.390107479649394,18.97210197026172,37.77859274030057,49.80458659637223,14.551779275187306,17.907394461650107,3.9249847148472536,7.053243983128126,47.92733838917744,16.022720678106005,15.40396031091164,1.6667220380697754,10.320451790690539,29.506178730338924,0.6962661771102683,8.15347902456799,9.541144769264301,2.845180766392003,0.8101283718922772,0.8719550409186577,27.856243261868403,11.156880556269655,1.1191786919200488,4.3202549289531917e-13,6.880049112622774e-13,2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0004866578059244879,17.34906690331799,0.0002469114499333455
baseline,173,128.0,8,True,1.0,50.0,49.390107479649394,18.97210197026172,37.77859274030057,49.80458659637223,14.551779275187306,17.907394461650107,3.9249847148472536,7.053243983128126,47.92733838917744,16.022720678106005,15.40396031091164,3.6005050084517607,10.337148745972426,29.585295481354272,3.1085194490177974,8.177205991334274,9.558193565242883,2.8481488899718466,1.7587509243985706,3.30399116508869,27.865481191837084,11.170303142644414,0.4051993126773926,0.0,0.0,2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.00048665373585810696,17.34906627097081,0.00024691534327854893
baseline,173,128.0,8,True,1.0,100.0,49.390107479649394,18.97210197026172,37.77859274030057,49.80458659637223,14.551779275187306,17.907394461650107,3.9249847148472536,7.053243983128126,47.92733838917744,16.022720678106005,15.40396031091164,30.44975622937611,10.470753948717542,29.974286307098854,31.240191246118687,8.28752492092691,9.663397631668882,2.865805674868964,5.587659780485469,29.9065830359426,27.980163665058424,11.271438619636298,1.4400113166451913e-06,2.1601274588508256e-13,3.4400245473522914e-13,2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0004860294537145163,17.34906234233268,0.0002468144524071662
baseline,173,128.0,8,True,5.0,0.0,49.390107479649394,18.97210197026172,37.77859274030057,49.80458659637223,14.551779275187306,17.907394461650107,3.9249847148472536,7.053243983128126,47.92733838917744,16.022720678106005,15.40396031091164,1.6836513121305168,0.768364979543042,2.9487313603037957,0.7127568537673792,0.7094647882032796,1.093627499828847,0.8199557136443636,0.8121237866935751,0.8948227588114324,21.62465562217838,1.1288863420076438,1.1191786919200488,4.3202549289531917e-13,6.880049112622774e-13,2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0004822719809103781,20.55155664125293,0.00024508323522361066
