candidate,brightness,c_ratio,correlation,height,raw,seed,step,y_ratio,baseline_count,baseline_mse_y,baseline_mse_cb,baseline_mse_cr,baseline_sigma_y,baseline_sigma_cb,baseline_sigma_cr,candidate_count,candidate_mse_y,candidate_mse_cb,candidate_mse_cr,candidate_sigma_y,candidate_sigma_cb,candidate_sigma_cr
baseline,128.0,1.0,24,256,True,619,5.0,1.0,53504,3.0886906367293023,12.87179359175924,8.836360415233463,1.73931585965975,3.5100413881384895,2.9049240796809386,53504,3.0886906367293023,12.87179359175924,8.836360415233463,1.73931585965975,3.5100413881384895,2.9049240796809386
baseline,128.0,1.0,24,432,True,619,5.0,1.0,107008,3.063959529045217,12.05508716476141,9.259832685460276,1.7308070042657095,3.468551082453603,2.965224043737779,107008,3.063959529045217,12.05508716476141,9.259832685460276,1.7308070042657095,3.468551082453603,2.965224043737779
baseline,200.0,1.0,8,256,False,619,1.0,1.0,53504,11.806581867091689,14.039369881755945,14.116177442119445,3.4341685530722112,3.722957640689104,3.7565836900480654,53504,11.806581867091689,14.039369881755945,14.116177442119445,3.4341685530722112,3.722957640689104,3.7565836900480654
baseline,200.0,1.0,8,432,False,619,1.0,1.0,107008,11.749367621407012,13.999951760882505,13.983787027138575,3.425511033948337,3.7314083753375282,3.739488128561616,107008,11.749367621407012,13.999951760882505,13.983787027138575,3.425511033948337,3.7314083753375282,3.739488128561616
baseline,200.0,1.0,8,256,False,619,5.0,1.0,53504,11.800851437940066,1.4319868344316304,1.5910534827330831,3.4320992997322652,1.109643242825276,1.2589311358315152,53504,11.800851437940066,1.4319868344316304,1.5910534827330831,3.4320992997322652,1.109643242825276,1.2589311358315152
baseline,200.0,1.0,8,432,False,619,5.0,1.0,107008,11.74571187844069,1.3385929458921382,1.5678270280957902,3.423658997564151,1.1080815814250602,1.2517594203741704,107008,11.74571187844069,1.3385929458921382,1.5678270280957902,3.423658997564151,1.1080815814250602,1.2517594203741704
baseline,200.0,1.0,8,256,True,619,1.0,1.0,53504,11.806588311717556,14.039370249605595,14.116178086162876,3.434169638884749,3.7229576790918357,3.756583774361678,53504,11.806588311717556,14.039370249605595,14.116178086162876,3.434169638884749,3.7229576790918357,3.756583774361678
baseline,200.0,1.0,8,432,True,619,1.0,1.0,107008,11.74937415920336,13.999952137279752,13.983787624566935,3.42551214612883,3.73140841908251,3.7394882083723764,107008,11.74937415920336,13.999952137279752,13.983787624566935,3.42551214612883,3.73140841908251,3.7394882083723764
baseline,200.0,1.0,8,256,True,619,5.0,1.0,53504,11.800857868032322,1.431987161646014,1.5910536111531366,3.432100422813874,1.1096433567433783,1.2589311842096926,53504,11.800857868032322,1.431987161646014,1.5910536111531366,3.432100422813874,1.1096433567433783,1.2589311842096926
baseline,200.0,1.0,8,432,True,619,5.0,1.0,107008,11.745718524419523,1.3385931791003347,1.5678271911456514,3.423660166818102,1.1080816561554676,1.2517594840211341,107008,11.745718524419523,1.3385931791003347,1.5678271911456514,3.423660166818102,1.1080816561554676,1.2517594840211341
baseline,200.0,1.0,24,256,False,619,1.0,1.0,53504,11.809788579351885,23.30172596270771,19.61952682641741,3.4350997882144694,4.774033204921817,4.40131341255767,53504,11.809788579351885,23.30172596270771,19.61952682641741,3.4350997882144694,4.774033204921817,4.40131341255767
baseline,200.0,1.0,24,432,False,619,1.0,1.0,107008,11.752893749512815,23.381636638664045,20.67099892818178,3.4265304760848756,4.8292004775685715,4.504833869349578,107008,11.752893749512815,23.381636638664045,20.67099892818178,3.4265304760848756,4.8292004775685715,4.504833869349578
baseline,200.0,1.0,24,256,False,619,5.0,1.0,53504,11.810475339970871,12.897629283266657,8.852537961242717,3.4342731970646474,3.518615747337661,2.910986602744366,53504,11.810475339970871,12.897629283266657,8.852537961242717,3.4342731970646474,3.518615747337661,2.910986602744366
baseline,200.0,1.0,24,432,False,619,5.0,1.0,107008,11.751735460745653,12.107372295068243,9.272237813703718,3.4252960450542735,3.4748133800395866,2.970922356208328,107008,11.751735460745653,12.107372295068243,9.272237813703718,3.4252960450542735,3.4748133800395866,2.970922356208328
baseline,200.0,1.0,24,256,True,619,1.0,1.0,53504,11.809795200310681,23.301726094135166,19.61952764499095,3.435100877562158,4.774033199370327,4.401313499358171,53504,11.809795200310681,23.301726094135166,19.61952764499095,3.435100877562158,4.774033199370327,4.401313499358171
baseline,200.0,1.0,24,432,True,619,1.0,1.0,107008,11.75290048085753,23.381636182948103,20.67100000425241,3.4265315959605434,4.829200437465428,4.504833984084175,107008,11.75290048085753,23.381636182948103,20.67100000425241,3.4265315959605434,4.829200437465428,4.504833984084175
baseline,200.0,1.0,24,256,True,619,5.0,1.0,53504,11.810482255276025,12.897630090422613,8.852538980658753,3.4342743665647557,3.5186158274470287,2.9109867516001726,53504,11.810482255276025,12.897630090422613,8.852538980658753,3.4342743665647557,3.5186158274470287,2.9109867516001726
baseline,200.0,1.0,24,432,True,619,5.0,1.0,107008,11.751742083241437,12.10737272884487,9.272238829450659,3.4252971861607175,3.4748134496955982,2.9709225127719847,107008,11.751742083241437,12.10737272884487,9.272238829450659,3.4252971861607175,3.4748134496955982,2.9709225127719847
