chroma,brightness,sigma,detail,step,selected,unsupported_reason,baseline_loss,best_loss,selected_loss,max_noise_ratio,max_clean_error,max_bias,feasible_candidates
True,0.11764705926179886,0.004000000189989805,50.0,4.0,100,,0.9999998656165112,0.04416584577709082,0.04416584577709082,0.12037375819498512,0.0,0.0,25
True,0.11764705926179886,0.00800000037997961,50.0,4.0,100,,0.9999999535105802,0.05683773216739188,0.05683773216739188,0.21670825298490226,0.0,0.0,25
True,0.11764705926179886,0.012000000104308128,50.0,4.0,100,,0.9999999728829234,0.11150282866048264,0.11150282866048264,0.32766489375232105,0.0,0.0,25
True,0.11764705926179886,0.01600000075995922,50.0,4.0,100,,0.9999999812048682,0.1689899259270975,0.1689899259270975,0.420301442267603,0.0,0.0,25
True,0.11764705926179886,0.03200000151991844,50.0,4.0,100,,0.9999999913315583,0.3940726427289728,0.3940726427289728,0.6807498681101954,0.0,0.0,25
True,0.11764705926179886,0.06400000303983688,50.0,4.0,100,,0.9999999954512054,0.7239421470089437,0.7239421470089437,0.890342391726749,0.0,0.0,25
True,0.11764705926179886,0.09600000083446503,50.0,4.0,,,0.9999999968163156,0.8620583477366228,,,,,33
True,0.11764705926179886,0.12800000607967377,50.0,4.0,,,0.999999997522506,0.9227350400057976,,,,,33
True,0.11764705926179886,0.0010000000474974513,50.0,5.0,57,,0.9999978199999107,0.28942805412010825,0.30284962173677127,0.453182337812897,0.0,0.0,33
True,0.11764705926179886,0.0020000000949949026,50.0,5.0,81,,0.9999994829397697,0.12195427887922786,0.12676555191268465,0.23276963780445742,0.0,0.0,37
True,0.11764705926179886,0.004000000189989805,50.0,5.0,100,,0.9999998656165112,0.04810650849938796,0.04810650849938796,0.11458085800108583,0.0,0.0,25
True,0.11764705926179886,0.00800000037997961,50.0,5.0,100,,0.9999999535105802,0.05799801976136744,0.05799801976136744,0.2339790567604898,0.0,0.0,25
True,0.11764705926179886,0.012000000104308128,50.0,5.0,100,,0.9999999728829234,0.1135344430868014,0.1135344430868014,0.33559425912148805,0.0,0.0,25
True,0.11764705926179886,0.01600000075995922,50.0,5.0,100,,0.9999999812048682,0.1715062468402795,0.1715062468402795,0.42870855802062574,0.0,0.0,25
True,0.11764705926179886,0.03200000151991844,50.0,5.0,100,,0.9999999913315583,0.4000765842321876,0.4000765842321876,0.6841725815315367,0.0,0.0,25
True,0.11764705926179886,0.06400000303983688,50.0,5.0,100,,0.9999999954512054,0.7257655091831366,0.7257655091831366,0.8942261557437537,0.0,0.0,25
True,0.11764705926179886,0.09600000083446503,50.0,5.0,,,0.9999999968163156,0.8624063246540506,,,,,33
True,0.11764705926179886,0.12800000607967377,50.0,5.0,,,0.999999997522506,0.9211537322148708,,,,,33
True,0.250980406999588,0.0010000000474974513,50.0,1.0,83,,0.9999610281486606,0.11868046501346595,0.12361786402063747,0.22996412050637657,7.62939453125e-06,0.1387516212463379,33
True,0.250980406999588,0.0020000000949949026,50.0,1.0,93,,0.9999902988569058,0.04906350447932484,0.05095318598071627,0.16742764485911624,7.62939453125e-06,0.3912172317504883,29
True,0.250980406999588,0.004000000189989805,50.0,1.0,96,,0.999997629965165,0.030898622729788543,0.03192389451575218,0.1552327338380908,0.0,0.0,25
True,0.250980406999588,0.00800000037997961,50.0,1.0,100,,0.9999994587634521,0.02010159129342564,0.02010159129342564,0.11394758641682723,0.0,0.0,25
True,0.250980406999588,0.012000000104308128,50.0,1.0,100,,0.9999997739807376,0.022773151214910668,0.022773151214910668,0.11900113612207425,0.0,0.0,25
True,0.250980406999588,0.01600000075995922,50.0,1.0,100,,0.9999998715156789,0.035458430726236924,0.035458430726236924,0.16208254817206424,0.0,0.0,25
True,0.250980406999588,0.03200000151991844,50.0,1.0,100,,0.9999999567159007,0.1268244057896984,0.1268244057896984,0.351654212712296,0.0,0.0,25
True,0.250980406999588,0.06400000303983688,50.0,1.0,100,,0.9999999822275806,0.36579549390380983,0.36579549390380983,0.6365370623664401,0.0,0.0,25
True,0.250980406999588,0.09600000083446503,50.0,1.0,100,,0.9999999889344671,0.561594080429995,0.561594080429995,0.804303709938913,0.0,0.0,25
True,0.250980406999588,0.12800000607967377,50.0,1.0,100,,0.9999999917633472,0.7046338703093679,0.7046338703093679,0.8917170768431887,0.0,0.0,25
True,0.250980406999588,0.0010000000474974513,50.0,2.0,47,,0.9999610281486606,0.3770110435765754,0.39038081815489023,0.5651569487427062,7.62939453125e-06,0.23068553924560548,29
True,0.250980406999588,0.0020000000949949026,50.0,2.0,75,,0.9999902988569058,0.18310537952066744,0.19040920248511276,0.2935623027304782,7.62939453125e-06,0.3125549125671387,37
True,0.250980406999588,0.004000000189989805,50.0,2.0,89,,0.999997629965165,0.071836438510859,0.0744822343902733,0.1851634700306628,0.0,0.0,33
True,0.250980406999588,0.00800000037997961,50.0,2.0,100,,0.9999994587634521,0.03543772938192829,0.03543772938192829,0.11655761319821172,0.0,0.0,25
True,0.250980406999588,0.012000000104308128,50.0,2.0,100,,0.9999997739807376,0.030673400801982793,0.030673400801982793,0.11501518401460095,0.0,0.0,25
True,0.250980406999588,0.01600000075995922,50.0,2.0,100,,0.9999998715156789,0.039035234357010076,0.039035234357010076,0.1625539984530731,0.0,0.0,25
True,0.250980406999588,0.03200000151991844,50.0,2.0,100,,0.9999999567159007,0.12961340574397887,0.12961340574397887,0.3813447920856919,0.0,0.0,25
True,0.250980406999588,0.06400000303983688,50.0,2.0,100,,0.9999999822275806,0.3686636181765992,0.3686636181765992,0.6403624413800628,0.0,0.0,25
True,0.250980406999588,0.09600000083446503,50.0,2.0,100,,0.9999999889344671,0.564049966897787,0.564049966897787,0.799301433748934,0.0,0.0,25
True,0.250980406999588,0.12800000607967377,50.0,2.0,100,,0.9999999917633472,0.7055755317850955,0.7055755317850955,0.8878528618329371,0.0,0.0,25
